date,price_for_regime,market_return,regime_label,bull_probability,bear_probability,expected_return
2020-05-27,121.52049569604604,-0.01343804180703344,Bull Market,0.07681004819870502,0.9231899518012949,-0.0037959954264804815
2020-05-28,121.67283042951463,0.0012527872850734611,Bull Market,0.9999988035991764,1.196400823625563e-06,0.002343984262504581
2020-05-29,122.18035426042296,0.00416254201777395,Bull Market,0.999999163908288,8.360917118536651e-07,0.002343986658862438
2020-06-01,124.00226479564004,0.01480156320578018,Bull Market,0.9988598219130645,0.0011401780869354354,0.002336409078797085
2020-06-02,123.26644236505057,-0.0059516192812964054,Bull Market,0.9998542384730503,0.00014576152694963145,0.002343022783139763
2020-06-03,123.94431847704648,0.005484209576482727,Bull Market,0.9999989247038613,1.0752961387009296e-06,0.0023439850679523306
2020-06-04,124.8199599035711,0.007039958057439497,Bull Market,0.9999983842657721,1.6157342278336475e-06,0.0023439814735856626
2020-06-05,126.55087482369564,0.01377202156537948,Bull Market,0.9997246587592112,0.00027534124078875506,0.002342160969337956
2020-06-08,129.00885653814248,0.019236657502223715,Bull Market,0.4408118374909038,0.5591881625090962,-0.0013750781655907378
2020-06-09,129.40126412149496,0.0030370937792944543,Bull Market,0.9999995162397344,4.837602655620629e-07,0.002343989002162128
2020-06-10,130.4048367995119,0.007725589706722565,Bull Market,0.9999994092685932,5.907314069081411e-07,0.0023439882907143
2020-06-11,125.18956896028372,-0.04081460064405617,Bear Market,4.184554135934317e-46,1.0,-0.004306846683161388
2020-06-12,124.83140595342677,-0.0028650656368488596,Bear Market,0.9999472592037917,5.2740796208379555e-05,0.002343641449034538
2020-06-15,121.2344407324919,-0.029237876816907166,Bear Market,8.204461888340554e-24,1.0,-0.004306846683161388
2020-06-16,123.78239435718204,0.020798942047979108,Bear Market,0.0009610929598355021,0.9990389070401645,-0.0043004546087149695
2020-06-17,123.82176761952472,0.0003180339325496359,Bull Market,0.9999832451601756,1.6754839824499368e-05,0.002343880785833208
2020-06-18,124.0800279221268,0.0020835701933433577,Bull Market,0.9999930938571957,6.906142804317347e-06,0.002343946287930491
2020-06-19,126.196942319826,0.016916977067587335,Bull Market,0.8373555650718909,0.16264443492810912,0.0012622702844404844
2020-06-22,127.00911403483246,0.00641512696836899,Bull Market,0.9999954749809651,4.525019034989996e-06,0.0023439621244010886
2020-06-23,127.24727140281831,0.0018733644563293543,Bull Market,0.9999977109048577,2.289095142360376e-06,0.002343976995170697
